location,date,new_cases,new_deaths,new_vaccinations,population
Finland,2021,234407.0,1122.0,126744.0,2022371925.0
Finland,2022,1101822.0,5015.0,1127660.0,1756416165.0
France,2020,2735590.0,65031.0,1968.0,23259859000.0
France,2021,7706191.0,59161.0,124219487.0,24751745000.0
France,2022,27142138.0,33935.0,26968058.0,21496721000.0
French Polynesia,2020,16926.0,114.0,0.0,90049848.0
French Polynesia,2021,29465.0,522.0,855.0,111796580.0
French Polynesia,2022,30415.0,13.0,0.0,97094564.0
Gabon,2020,9571.0,64.0,0.0,699976121.0
Gabon,2021,32227.0,224.0,1486.0,871983905.0
Gabon,2022,7147.0,18.0,0.0,757312049.0
Gambia,2020,3897.0,124.0,0.0,784738550.0
Gambia,2021,6373.0,219.0,429.0,987688175.0
Gambia,2022,2410.0,29.0,0.0,857800415.0
Georgia,2020,227420.0,2505.0,0.0,1160759350.0
Georgia,2021,707321.0,11295.0,1180951.0,1366700525.0
Georgia,2022,850397.0,3112.0,274870.0,1186970045.0
Germany,2020,1719737.0,33079.0,182067.0,28345745600.0
Germany,2021,5430685.0,78854.0,153687360.0,30429991600.0
Germany,2022,28883032.0,43676.0,34818459.0,26428239280.0
Ghana,2020,54771.0,335.0,0.0,9808429910.0
Ghana,2021,88215.0,960.0,180950.0,12218692550.0
Ghana,2022,27908.0,165.0,0.0,10611850790.0
Gibraltar,2020,2041.0,7.0,0.0,9901131.0
Gibraltar,2021,6670.0,93.0,86798.0,11927105.0
Gibraltar,2022,11478.0,10.0,5436.0,10358609.0
Greece,2020,138850.0,4838.0,1892.0,3219341320.0
Greece,2021,1072003.0,15952.0,16560705.0,3790514780.0
Greece,2022,4039435.0,13098.0,4302248.0,3292036124.0
Greenland,2020,27.0,0.0,0.0,16439754.0
Greenland,2021,2585.0,1.0,43278.0,20620310.0
Greenland,2022,9360.0,21.0,58.0,17908598.0
Grenada,2020,127.0,0.0,0.0,35755815.0
Grenada,2021,6054.0,200.0,1037.0,45792535.0
Grenada,2022,13449.0,37.0,122.0,39770503.0
Guam,2020,0.0,0.0,0.0,50675985.0
Guam,2021,0.0,0.0,0.0,62700795.0
Guam,2022,0.0,0.0,0.0,29031327.0
Guatemala,2020,138012.0,4813.0,0.0,5692208566.0
